,Word,Subject,Cluster,LE,CCenter,RE
525,hispanic,JW51,CC,267.7,229.95,192.2
526,hispanic,JW52,CC,295.2,230,164.8
527,hispanic,JW54,CC,357,278.05,199.1
528,hispanic,JW63,CC,288.4,216.3,144.2
771,respect,JW11,CC,315.8,254,192.2
772,respect,JW13,CC,418.9,336.5,254.1
773,respect,JW20,CC,363.9,291.8,219.7
774,respect,JW21,CC,343.3,274.65,206
775,respect,JW24,CC,329.5,281.45,233.4
776,respect,JW26,CC,363.9,298.65,233.4
777,respect,JW28,CC,302.1,250.6,199.1
778,respect,JW29,CC,309,267.8,226.6
779,respect,JW31,CC,377.6,322.7,267.8
780,respect,JW34,CC,336.4,288.35,240.3
781,respect,JW37,CC,247.2,212.85,178.5
782,respect,JW39,CC,329.6,271.25,212.9
783,respect,JW40,CC,357,295.2,233.4
784,respect,JW43,CC,336.5,267.8,199.1
785,respect,JW44,CC,357,274.6,192.2
786,respect,JW46,CC,288.4,233.5,178.6
787,respect,JW49,CC,384.5,326.15,267.8
788,respect,JW51,CC,350.1,298.65,247.2
789,respect,JW52,CC,315.9,260.95,206
790,respect,JW53,CC,315.8,264.3,212.8
791,respect,JW60,CC,336.4,271.2,206
792,respect,JW61,CC,254,212.8,171.6
1,upon,JW11,C,185.4,140.75,96.1
7,upon,JW12,C,192.2,181.9,171.6
9,upon,JW12,C,171.7,161.4,151.1
22,upon,JW13,C,206,192.25,178.5
23,upon,JW13,C,192.2,181.95,171.7
31,upon,JW14,C,260.9,250.6,240.3
40,upon,JW15,C,185.4,171.65,157.9
41,upon,JW15,C,219.7,206,192.3
55,upon,JW16,C,274.6,264.3,254
64,upon,JW18,C,171.7,161.4,151.1
66,upon,JW18,C,151.1,140.8,130.5
83,upon,JW20,C,226.6,212.85,199.1
84,upon,JW20,C,192.3,182,171.7
98,upon,JW21,C,199.1,188.8,178.5
113,upon,JW24,C,315.9,295.3,274.7
114,upon,JW24,C,391.4,360.5,329.6
122,upon,JW25,C,350.1,322.65,295.2
128,upon,JW26,C,192.2,181.9,171.6
131,upon,JW27,C,254.1,240.35,226.6
132,upon,JW27,C,151.1,140.8,130.5
141,upon,JW28,C,288.4,274.65,260.9
156,upon,JW29,C,219.7,209.4,199.1
157,upon,JW29,C,295.2,284.9,274.6
171,upon,JW30,C,219.7,209.4,199.1
174,upon,JW31,C,274.6,264.3,254
191,upon,JW33,C,199.1,192.2,185.3
206,upon,JW34,C,343.3,333,322.7
208,upon,JW34,C,233.4,219.7,206
223,upon,JW35,C,199.1,185.4,171.7
239,upon,JW36,C,254,243.7,233.4
255,upon,JW37,C,247.1,236.8,226.5
269,upon,JW39,C,151.1,140.8,130.5
270,upon,JW39,C,144.1,137.25,130.4
271,upon,JW40,C,240.3,223.15,206
273,upon,JW40,C,240.3,216.3,192.3
287,upon,JW41,C,206,188.8,171.6
288,upon,JW41,C,171.7,161.4,151.1
297,upon,JW42,C,185.4,175.1,164.8
298,upon,JW42,C,178.6,168.3,158
305,upon,JW43,C,315.8,302.1,288.4
308,upon,JW44,C,212.8,202.5,192.2
334,upon,JW48,C,233.5,219.75,206
342,upon,JW49,C,233.4,216.25,199.1
355,upon,JW51,C,178.5,168.2,157.9
356,upon,JW51,C,178.6,168.3,158
370,upon,JW52,C,206,192.3,178.6
372,upon,JW52,C,240.4,226.65,212.9
387,upon,JW53,C,226.6,212.85,199.1
396,upon,JW54,C,350.1,339.8,329.5
405,upon,JW55,C,164.8,154.5,144.2
406,upon,JW55,C,185.4,175.1,164.8
421,upon,JW56,C,178.5,164.8,151.1
422,upon,JW56,C,192.2,181.9,171.6
441,upon,JW58,C,219.7,209.4,199.1
458,upon,JW60,C,164.8,154.5,144.2
459,upon,JW60,C,178.5,168.2,157.9
487,upon,JW62,C,322.7,271.25,219.8
495,upon,JW63,C,206,195.7,185.4
