,Subject,Cluster,Word,LE,CCenter,RE
926,JW57,CC,between,425.7,353.6,281.5
927,JW57,CC,between,295.2,233.45,171.7
441,JW58,C,upon,219.7,209.4,199.1
442,JW58,C,against,212.9,195.7,178.5
731,JW58,CC,across,234.9,220.45,206
732,JW58,CC,across,412,387.95,363.9
733,JW58,CC,across,473.8,442.9,412
734,JW58,CC,across,288.3,264.3,240.3
735,JW58,CC,across,391.3,357,322.7
736,JW58,CC,across,233.4,216.25,199.1
737,JW58,CC,across,267.8,247.2,226.6
738,JW58,CC,across,281.5,264.35,247.2
739,JW58,CC,across,405.1,374.2,343.3
928,JW58,CC,between,412,267.8,123.6
443,JW59,C,about,240.3,230,219.7
444,JW59,C,about,158,147.7,137.4
445,JW59,C,about,329.6,315.85,302.1
446,JW59,C,about,322.7,312.4,302.1
447,JW59,C,before,164.8,154.5,144.2
448,JW59,C,before,329.5,312.35,295.2
449,JW59,C,about,309,295.25,281.5
450,JW59,C,about,178.5,171.65,164.8
451,JW59,C,before,185.4,171.65,157.9
452,JW59,C,against,247.2,226.6,206
453,JW59,C,before,171.6,157.85,144.1
454,JW59,C,about,329.5,315.8,302.1
455,JW59,C,before,281.5,257.5,233.5
456,JW59,C,about,308.9,295.2,281.5
929,JW59,CC,between,137.3,82.35,27.4
930,JW59,CC,between,405.1,322.7,240.3
931,JW59,CC,between,219.7,175.05,130.4
932,JW59,CC,between,240.3,192.25,144.2
933,JW59,CC,between,226.5,171.6,116.7
457,JW60,C,about,240.3,230,219.7
458,JW60,C,upon,164.8,154.5,144.2
459,JW60,C,upon,178.5,168.2,157.9
460,JW60,C,about,350.2,333.05,315.9
461,JW60,C,about,377.7,363.95,350.2
462,JW60,C,before,171.7,157.95,144.2
463,JW60,C,before,391.3,374.15,357
464,JW60,C,about,343.3,329.6,315.9
465,JW60,C,about,178.5,164.75,151
466,JW60,C,before,164.8,154.5,144.2
467,JW60,C,against,212.9,199.15,185.4
468,JW60,C,about,329.5,315.8,302.1
469,JW60,C,before,281.5,267.8,254.1
470,JW60,C,about,302.1,284.95,267.8
740,JW60,CC,across,309,278.1,247.2
741,JW60,CC,across,542.4,511.5,480.6
742,JW60,CC,across,501.3,470.4,439.5
743,JW60,CC,across,583.6,552.7,521.8
744,JW60,CC,across,260.9,230,199.1
745,JW60,CC,across,556.2,528.75,501.3
746,JW60,CC,across,302.1,278.05,254
747,JW60,CC,across,274.6,247.15,219.7
748,JW60,CC,across,233.4,216.25,199.1
749,JW60,CC,across,254.1,226.65,199.2
750,JW60,CC,across,453.1,429.1,405.1
791,JW60,CC,respect,336.4,271.2,206
471,JW61,C,about,212.8,202.5,192.2
472,JW61,C,about,212.8,199.1,185.4
473,JW61,C,about,308.9,295.2,281.5
474,JW61,C,about,329.5,319.2,308.9
475,JW61,C,before,109.9,89.3,68.7
476,JW61,C,before,336.4,315.8,295.2
477,JW61,C,about,281.5,267.75,254
478,JW61,C,about,137.3,130.45,123.6
479,JW61,C,before,164.8,151.05,137.3
480,JW61,C,before,206,188.85,171.7
481,JW61,C,before,192.3,168.25,144.2
482,JW61,C,against,247.1,229.95,212.8
483,JW61,C,before,192.3,171.7,151.1
484,JW61,C,about,288.4,274.7,261
485,JW61,C,before,233.4,219.7,206
486,JW61,C,about,363.9,350.2,336.5
792,JW61,CC,respect,254,212.8,171.6
487,JW62,C,upon,322.7,271.25,219.8
488,JW62,C,before,116.7,106.4,96.1
489,JW62,C,before,391.4,370.8,350.2
490,JW62,C,before,212.8,199.05,185.3
491,JW62,C,before,233.4,216.25,199.1
492,JW62,C,before,432.5,415.35,398.2
751,JW62,CC,across,295.2,260.85,226.5
752,JW62,CC,across,514.9,480.6,446.3
753,JW62,CC,across,453.2,394.85,336.5
754,JW62,CC,across,549.3,518.4,487.5
755,JW62,CC,across,329.6,291.85,254.1
756,JW62,CC,across,466.9,398.25,329.6
757,JW62,CC,across,322.7,278.1,233.5
758,JW62,CC,across,405.1,370.75,336.4
759,JW62,CC,across,329.6,302.1,274.6
760,JW62,CC,across,329.6,298.7,267.8
934,JW62,CC,between,322.7,247.2,171.7
935,JW62,CC,between,233.5,164.85,96.2
936,JW62,CC,between,199.1,171.65,144.2
493,JW63,C,about,254.1,240.35,226.6
494,JW63,C,about,212.8,199.05,185.3
495,JW63,C,upon,206,195.7,185.4
496,JW63,C,about,363.9,346.75,329.6
497,JW63,C,before,157.9,144.2,130.5
498,JW63,C,before,384.5,360.45,336.4
499,JW63,C,about,377.6,360.45,343.3
500,JW63,C,about,219.7,205.95,192.2
501,JW63,C,before,219.7,188.8,157.9
502,JW63,C,before,199.1,178.5,157.9
503,JW63,C,against,295.3,247.25,199.2
504,JW63,C,about,171.6,154.45,137.3
505,JW63,C,about,398.3,377.7,357.1
506,JW63,C,before,343.3,312.4,281.5
507,JW63,C,about,384.5,363.9,343.3
528,JW63,CC,hispanic,288.4,216.3,144.2
761,JW63,CC,across,329.5,257.4,185.3
762,JW63,CC,across,521.8,408.5,295.2
763,JW63,CC,across,480.6,377.6,274.6
764,JW63,CC,across,460,367.3,274.6
765,JW63,CC,across,446.3,353.6,260.9
766,JW63,CC,across,370.7,312.35,254
767,JW63,CC,across,295.2,236.85,178.5
768,JW63,CC,across,274.7,236.95,199.2
769,JW63,CC,across,295.2,240.25,185.3
770,JW63,CC,across,439.4,333,226.6
937,JW63,CC,between,206,151.05,96.1
938,JW63,CC,between,460,381.05,302.1
939,JW63,CC,between,233.5,157.95,82.4
940,JW63,CC,between,199.1,103,6.9
